,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
638,31.0,179.11349564985426,1.5,0.0984039220959322,125.73339742743516,10.0,0.2249960781602149,35.307393817218035,10.0,0.7149481182919001,156.04149260898907,10.0,0.3365493948656524,279.3527746833505,1.0,0.998991319206636,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638,base case no policy,819505417.2908446,0,0.6540216631207392,4628113.627219052,0,0.0049833849990368,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,819505417.2908446,0,0.6540216631207392,4628113.627219052,0,0.0049833849990368,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,819505417.2908446,0,0.6540216631207392,4628113.627219052,0,0.0049833849990368,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
639,14.0,98.03774710288836,1.5,0.8833958584805656,174.53530656846087,10.0,0.6119270745694836,165.8573530841494,10.0,0.5501370240439492,86.57632988076901,1.0,0.1241467221856773,345.70272622590414,10.0,0.7716348301197262,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639,base case no policy,0.0,0,0.0,15985078.082568698,0,0.0186859156707139,39868939.14659721,0,0.0868471437547758,35057944.730891064,0,0.0190457570181924,0.0,0,0.0,0.0,0.0,0.0,0,0.0,15985078.082568698,0,0.0186859156707139,39868939.14659721,0,0.0868471437547758,35057944.730891064,0,0.0190457570181924,0.0,0,0.0,0.0,0.0,0.0,0,0.0,15985078.082568698,0,0.0186859156707139,39868939.14659721,0,0.0868471437547758,35057944.730891064,0,0.0190457570181924,0.0,0,0.0,0.0,0.0
640,61.0,292.1161923624796,10.0,0.4597429101672977,272.2574735802517,10.0,0.1552112526876094,109.5904625550458,1.0,0.1165789508721576,317.8824123179749,10.0,0.5083000540740736,243.7593675561439,10.0,0.6278316465156915,3.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640,base case no policy,126856037.46160676,0,0.1064616033298308,115044234.028346,0,0.1239191026401576,576368156.3032193,0,1.1634171368548345,0.0,0,0.0,0.0,0,0.0,0.0,0.0,159234378.79297507,0,0.1064616033298308,144407767.30679137,0,0.1239191026401576,723478575.8838807,0,1.1634171368548345,0.0,0,0.0,0.0,0,0.0,0.0,0.0,159234378.79297507,0,0.1064616033298308,144407767.30679137,0,0.1239191026401576,723478575.8838807,0,1.1634171368548345,0.0,0,0.0,0.0,0,0.0,0.0,0.0
641,28.0,54.564282455972325,10.0,0.5006225957086629,313.89066121842114,1.5,0.6166530999151117,284.60088972514467,10.0,0.622582507079793,218.64599749214187,10.0,0.6280605711562202,287.6725127908963,1.5,0.0563310293806046,3.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,base case no policy,66833871.4910143,0,0.057166646909883,8875472.728980454,0,0.0102711668199647,10017319.24958788,0,0.0220058527168408,856751.7388161608,0,0.0005264651847042,241429310.3620627,0,0.2555489404296345,0.0,0.0,83892341.44588573,0,0.057166646909883,11140820.845211452,0,0.0102711668199647,12574108.728264494,0,0.0220058527168408,1075426.3938874938,0,0.0005264651847042,303050978.3151199,0,0.2555489404296345,0.0,0.0,54794413.091825,0,0.057166646909883,7276644.4356342275,0,0.0102711668199647,8212798.64220355,0,0.0220058527168408,702416.4191976185,0,0.0005264651847042,197938217.0944848,0,0.2555489404296345,0.0,0.0
642,61.0,101.03046931311764,10.0,0.8369519902290129,316.4859030699428,1.0,0.5782143000019384,175.3148012552914,10.0,0.7905427361774678,288.06149865735995,1.0,0.6584328808609057,195.9722485932047,1.0,0.2563667859932246,4.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642,base case no policy,0.0,0,0.0,13006457.795928683,0,0.0184108040289783,5274993.280479051,0,0.0142481666233707,271812.62396126584,0,0.000212746744499,78503224.9098259,0,0.1039166366513263,0.0,0.0,0.0,0,0.0,13006457.795928683,0,0.0184108040289783,5274993.280479051,0,0.0142481666233707,271812.62396126584,0,0.000212746744499,78503224.9098259,0,0.1039166366513263,0.0,0.0,0.0,0,0.0,25827569.136557996,0,0.0184108040289783,10474816.109355912,0,0.0142481666233707,539751.8254160126,0,0.000212746744499,155887752.1161802,0,0.1039166366513263,0.0,0.0
643,77.0,131.11897380488728,1.0,0.8848959345517738,328.0739677549019,1.0,0.1158401813585945,301.16313571008874,10.0,0.7706489444708052,108.45890049595926,1.0,0.1975577156319724,46.36846065627956,1.5,0.6129414347772674,3.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643,base case no policy,0.0,0,0.0,159673818.90089592,0,0.1700442569589269,0.0,0,0.0,678277.876474826,0,0.0003631850545264,0.0,0,0.0,0.0,0.0,0.0,0,0.0,200428468.9239269,0,0.1700442569589269,0.0,0,0.0,851399.4167772674,0,0.0003631850545264,0.0,0,0.0,0.0,0.0,0.0,0,0.0,130910165.72309838,0,0.1700442569589269,0.0,0,0.0,556092.8512065075,0,0.0003631850545264,0.0,0,0.0,0.0,0.0
644,62.0,276.44902690739013,10.0,0.1265094830882006,328.364692086761,10.0,0.674309455307144,324.6785162301083,1.0,0.9116041177319796,43.17953823787089,1.5,0.0980768875745345,82.87961903473183,1.5,0.2988606169574967,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644,base case no policy,674211827.2575897,0,0.6568784159467124,0.0,0,0.0,0.0,0,0.0,122201.08355282544,0,7.085783183636496e-05,0.0,0,0.0,0.0,0.0,674211827.2575897,0,0.6568784159467124,0.0,0,0.0,0.0,0,0.0,122201.08355282544,0,7.085783183636496e-05,0.0,0,0.0,0.0,0.0,674211827.2575897,0,0.6568784159467124,0.0,0,0.0,0.0,0,0.0,122201.08355282544,0,7.085783183636496e-05,0.0,0,0.0,0.0,0.0
645,39.0,274.4905742568369,1.5,0.1612171790140525,326.85989245070886,10.0,0.0766208697448979,94.7593877821622,1.5,0.2087634713103189,72.02772798782132,1.5,0.5819618273546969,301.36742168245803,10.0,0.5834032396882076,1.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645,base case no policy,1326546416.3027618,0,0.6493108545546731,10716986.347673072,0,0.0065132896987313,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,814813646.0849025,0,0.6493108545546731,6582767.563707027,0,0.0065132896987313,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,814813646.0849025,0,0.6493108545546731,6582767.563707027,0,0.0065132896987313,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
646,17.0,287.20499964424766,1.5,0.0718912716175427,57.55109204359991,1.0,0.3123989088031675,142.83027246420667,1.0,0.0615792878554099,120.3073434212004,10.0,0.8733523478110998,254.11356297274108,1.0,0.681847279080499,3.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646,base case no policy,817131948.4647933,0,0.6516379913281469,0.0,0,0.0,68194070.86407864,0,0.1338946887138748,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1330320697.365342,0,0.6516379913281469,0.0,0,0.0,111022441.45333576,0,0.1338946887138748,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1330320697.365342,0,0.6516379913281469,0.0,0,0.0,111022441.45333576,0,0.1338946887138748,0.0,0,0.0,0.0,0,0.0,0.0,0.0
647,55.0,258.94226169917096,1.0,0.3215987953542318,246.3281579284758,1.5,0.914881163655816,284.37555491216955,1.5,0.2627122544765625,229.10345914450457,1.0,0.365445440241211,233.1722153128405,1.0,0.5295495084855856,4.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647,base case no policy,668210247.7523754,0,0.6495277477480929,0.0,0,0.0,2658630.843155897,0,0.0066289945586218,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1023055437.5706174,0,0.6495277477480929,0.0,0,0.0,4070465.470609698,0,0.0066289945586218,0.0,0,0.0,0.0,0,0.0,0.0,0.0,668210247.7523754,0,0.6495277477480929,0.0,0,0.0,2658630.843155897,0,0.0066289945586218,0.0,0,0.0,0.0,0,0.0,0.0,0.0
