,A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
10,3892309.949170134,0,0.0041834307727653,5333555.843210332,0,0.0077033343471813,276158175.8911537,0,0.7010910391507098,8973645.370314488,0,0.0060881813945523,39191502.7364235,0,0.051123361669962,0.0,0.0,4747530.419024495,0,0.0041834307727653,6505447.64879414,0,0.0077033343471813,336835801.26631415,0,0.7010910391507098,10945339.6367341,0,0.0060881813945523,47802681.1426264,0,0.051123361669962,0.0,0.0,3892309.949170134,0,0.0041834307727653,5333555.843210332,0,0.0077033343471813,276158175.8911537,0,0.7010910391507098,8973645.370314488,0,0.0060881813945523,39191502.7364235,0,0.051123361669962,0.0,0.0,92,80.30367733860285,10.0,0.7077758943535729,173.4704210864383,1.5,0.723031961362457,31.8331635534488,1.0,0.2021060692478183,296.4160266712505,1.0,0.2884648135160709,178.8361946996826,10.0,0.1760331452108851,4.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,base case no policy,dikesnet
11,95381915.33219288,0,0.0649727385740985,7636504.237748248,0,0.0069569407109491,13111598.649990624,0,0.0226766162060688,0.0,0,0.0,226232157.25093943,0,0.1934293929861278,0.0,0.0,62298846.11782957,0,0.0649727385740985,4987794.60161522,0,0.0069569407109491,8563861.019247249,0,0.0226766162060688,0.0,0,0.0,147763884.8244428,0,0.1934293929861278,0.0,0.0,95381915.33219288,0,0.0649727385740985,7636504.237748248,0,0.0069569407109491,13111598.649990624,0,0.0226766162060688,0.0,0,0.0,226232157.25093943,0,0.1934293929861278,0.0,0.0,68,342.8838092971882,10.0,0.4943689297568269,36.91608630750807,1.0,0.5800280475755423,177.93935606209433,10.0,0.5507473024474361,136.6520464838815,1.0,0.8359445166270738,30.761550074056014,10.0,0.1015206880863551,2.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,base case no policy,dikesnet
12,0.0,0,0.0,7370768.301115726,0,0.0054744912268377,31712095.39004664,0,0.0434883123226362,1845177.224161305,0,0.0007538864018747,46378307.69633216,0,0.0317728293726195,0.0,0.0,0.0,0,0.0,4527397.247521872,0,0.0054744912268377,19478736.47857243,0,0.0434883123226362,1133375.7818155,0,0.0007538864018747,28487264.01796034,0,0.0317728293726195,0.0,0.0,0.0,0,0.0,7370768.301115726,0,0.0054744912268377,31712095.39004664,0,0.0434883123226362,1845177.224161305,0,0.0007538864018747,46378307.69633216,0,0.0317728293726195,0.0,0.0,98,220.0388264705034,1.5,0.845789275051357,314.0156563625149,1.0,0.9204923517573864,143.93791883662988,10.0,0.6905209301372885,118.16535450004775,1.0,0.6815220203734964,324.6992750774364,1.0,0.5590637594966262,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,base case no policy,dikesnet
13,616962148.4281715,0,0.6019821606440287,74243574.72880705,0,0.097873870575207,0.0,0,0.0,21109707.57986328,0,0.0126153456383347,0.0,0,0.0,0.0,0.0,944592638.0922484,0,0.6019821606440287,113669751.52876423,0,0.097873870575207,0.0,0,0.0,32319769.410522383,0,0.0126153456383347,0.0,0,0.0,0.0,0.0,616962148.4281715,0,0.6019821606440287,74243574.72880705,0,0.097873870575207,0.0,0,0.0,21109707.57986328,0,0.0126153456383347,0.0,0,0.0,0.0,0.0,127,31.564006557911718,1.5,0.1576706583525143,234.10877589464852,1.0,0.1642149048900047,264.8129867245126,1.5,0.6485670367326591,217.0112854515041,1.5,0.0933310342032896,317.6797593767333,1.0,0.3171840053663742,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,base case no policy,dikesnet
14,0.0,0,0.0,12708603.891581371,0,0.0119540244792835,42370361.12018393,0,0.0743068347238396,27324381.430398177,0,0.0121140897911265,20434083.232227087,0,0.0175534890899774,0.0,0.0,0.0,0,0.0,16483001.7234442,0,0.0119540244792835,54954166.58863556,0,0.0743068347238396,35439599.03476515,0,0.0121140897911265,26502913.45982696,0,0.0175534890899774,0.0,0.0,0.0,0,0.0,16483001.7234442,0,0.0119540244792835,54954166.58863556,0,0.0743068347238396,35439599.03476515,0,0.0121140897911265,26502913.45982696,0,0.0175534890899774,0.0,0.0,132,168.56970667987702,10.0,0.9645889233926368,331.1382664276995,1.0,0.7323928801077196,200.64258960767256,1.0,0.5584170307552877,262.11021024498416,1.0,0.2577480738808982,34.5414353209148,1.0,0.2679068068721896,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,base case no policy,dikesnet
15,0.0,0,0.0,8319399.105249624,0,0.0120061067841468,152293096.03079817,0,0.3949378680558665,0.0,0,0.0,1835897.451034604,0,0.0024560024735703,0.0,0.0,0.0,0,0.0,12737318.112935957,0,0.0120061067841468,233166552.77712837,0,0.3949378680558665,0.0,0,0.0,2810829.1909929197,0,0.0024560024735703,0.0,0.0,0.0,0,0.0,10147342.024650086,0,0.0120061067841468,185755018.3452848,0,0.3949378680558665,0.0,0,0.0,2239281.842612409,0,0.0024560024735703,0.0,0.0,18,259.0667980846971,1.5,0.9103001654135328,119.9059915811097,10.0,0.6101760274693427,67.97886667278745,1.5,0.311159661506484,279.15988283175955,1.5,0.7588626985869308,82.19648129685282,1.5,0.452747142399804,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,base case no policy,dikesnet
16,79340884.08463155,0,0.0820771019430245,31864044.17954883,0,0.0435403331496132,85982815.5469502,0,0.2238880686352772,0.0,0,0.0,0.0,0,0.0,0.0,0.0,79340884.08463155,0,0.0820771019430245,31864044.17954883,0,0.0435403331496132,85982815.5469502,0,0.2238880686352772,0.0,0,0.0,0.0,0,0.0,0.0,0.0,79340884.08463155,0,0.0820771019430245,31864044.17954883,0,0.0435403331496132,85982815.5469502,0,0.2238880686352772,0.0,0,0.0,0.0,0,0.0,0.0,0.0,37,79.93603323951584,10.0,0.4821490764132492,343.0507379980855,10.0,0.3654812064661557,230.98704511429983,10.0,0.4038539633744208,322.4519532924855,1.5,0.6469900148071941,320.98756521727785,10.0,0.9820992071155552,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,base case no policy,dikesnet
17,756093418.0511223,0,0.6055696147700111,0.0,0,0.0,2240181.2530470784,0,0.0046914706385634,0.0,0,0.0,0.0,0,0.0,0.0,0.0,949076355.7017596,0,0.6055696147700111,0.0,0,0.0,2811958.164155806,0,0.0046914706385634,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1230947737.4674597,0,0.6055696147700111,0.0,0,0.0,3647097.010926329,0,0.0046914706385634,0.0,0,0.0,0.0,0,0.0,0.0,0.0,117,254.26405572797776,1.0,0.2964505793818087,128.24724027317845,1.0,0.6661633092745354,78.94154981852944,10.0,0.3342200319818226,233.6271789452516,1.5,0.9270696545275228,203.70998644171956,10.0,0.4922878552111962,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,base case no policy,dikesnet
18,621011397.342419,0,0.606942816888602,7875986.097682016,0,0.0107747394832334,0.0,0,0.0,1345993.1195348836,0,0.0009201103028209,0.0,0,0.0,0.0,0.0,621011397.342419,0,0.606942816888602,7875986.097682016,0,0.0107747394832334,0.0,0,0.0,1345993.1195348836,0,0.0009201103028209,0.0,0,0.0,0.0,0.0,950792192.9984056,0,0.606942816888602,12058435.844956,0,0.0107747394832334,0.0,0,0.0,2060766.9285298015,0,0.0009201103028209,0.0,0,0.0,0.0,0.0,96,89.62614014775514,1.5,0.0144931953927564,77.02131226220243,1.5,0.403277607776129,159.27056713506283,1.5,0.5695173732169183,312.1613770578192,1.0,0.4630957094767158,336.7714290994923,10.0,0.4382293263841397,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,base case no policy,dikesnet
19,0.0,0,0.0,1816833.4463954,0,0.0021858778119773,533381480.0522112,0,1.0870717376115542,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1816833.4463954,0,0.0021858778119773,533381480.0522112,0,1.0870717376115542,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2280556.3771028984,0,0.0021858778119773,669520113.7864369,0,1.0870717376115542,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,349.2434669249285,1.0,0.9310034355447312,63.21990605996865,1.0,0.9372193355799816,165.81635755110037,1.0,0.0736595029916247,336.8507167895914,1.5,0.57878006749524,313.38117400654033,1.5,0.3662346773030122,3.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,base case no policy,dikesnet
