,A.1_RfR,A.2_RfR,A.3_RfR,A.4_RfR,A.5_RfR,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,Desired,policy
58,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,58
59,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,59
60,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,60
61,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,61
62,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,62
63,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,63
64,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,64
65,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,65
66,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,66
67,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,67
68,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,68
69,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,69
70,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,70
71,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,71
72,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,72
73,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,73
74,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,74
75,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,75
76,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,76
77,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,77
78,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,78
79,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,79
80,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,80
81,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,81
82,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,82
83,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,83
84,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,84
85,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,85
86,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,86
87,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,87
88,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,88
89,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,89
90,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,90
91,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,91
92,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,92
93,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,93
94,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,94
95,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,95
96,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,96
97,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,97
98,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,98
99,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,99
100,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,100
101,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,101
102,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,102
103,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,103
104,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,104
105,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,105
106,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,106
107,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,107
108,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,108
109,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,109
110,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,110
111,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,111
112,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,112
113,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,113
114,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,114
115,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,115
116,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,116
117,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,117
118,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,118
119,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,119
120,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,120
121,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,121
122,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,122
123,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,123
124,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,124
125,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,125
126,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,126
127,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,127
128,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,128
129,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,129
130,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,130
131,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,131
132,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,132
133,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,133
134,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,134
135,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,135
136,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,136
137,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,137
138,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,138
139,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,139
140,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,140
141,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,141
142,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,142
143,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,143
144,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,144
145,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,145
146,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,146
147,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,147
148,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,148
149,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,149
150,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,150
151,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,151
152,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,152
153,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,153
154,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,154
155,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,155
156,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,156
157,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,157
158,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,158
159,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,159
160,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,160
161,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,161
162,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,162
163,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,163
164,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,164
165,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,True,165
166,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,166
167,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,167
168,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,168
169,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,169
170,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,170
171,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,171
172,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,172
173,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,173
174,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,174
175,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,175
176,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,176
177,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,177
178,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,178
179,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,179
180,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,180
181,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,181
182,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,182
183,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,183
184,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,184
185,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,185
186,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,186
187,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,187
188,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,188
189,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,189
190,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,190
191,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,191
192,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,192
193,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,193
194,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,194
195,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,195
196,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,196
197,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,197
198,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,198
199,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,199
200,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,200
201,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,201
202,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,202
203,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,203
204,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,204
205,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,205
206,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,206
207,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,207
208,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,208
209,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,209
210,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,210
211,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,211
212,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,212
213,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,213
214,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,214
215,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,215
216,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,216
217,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,217
218,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,218
219,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,219
220,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,220
221,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,221
222,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,222
223,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,223
224,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,224
225,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,225
226,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,226
227,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,227
